Proc. padre 1,Proc.padre 2,Proc. niño
Cuzco,Lima,Lima
Lima,Lima,Lima
Arequipa,Arequipa,Lima
Lima,Lima,Lima
Ayacucho,Unk,Lima
Lima,Lima,Lima
Ayacucho,Lima,Lima
Lima,Lima,Lima
Abancay,Lima,Lima
Venezuela,Venezuela,Venezuela
Apurímac,Apurímac,Lima
Lima,Lima,Lima
Lima,Lima,Lima
Abancay,Lima,Lima
Lima,Lima,Lima
Venezuela,Venezuela,Venezuela
Lima,Lima,Lima
Ayacucho,Andahuaylas,Lima
Lima,Lima,Lima
Venezuela,Venezuela,Venezuela
Huancavelica,Junín,Lima
Lima,Lima,Lima
Lima,Lima,Lima
Apurímac,Apurímac,Lima
Lima,Lima,Lima
Junín,Lima,Lima
Ancash,Ayacucho,Lima
Iquitos,Iquitos,Iquitos
Lima,Lima,Lima
Lima,Lima,Lima
Lima,Lima,Lima
Lima,Lima,Lima
Ayacucho,Lima,Lima
Lima,Lima,Lima
Venezuela,Venezuela,Venezuela
Junín,Cuzco,Lima
Iquitos,Iquitos,Iquitos
Lima,Lima,Lima
Ayacucho,Ayacucho,Lima
Lima,Lima,Lima
Lima,Lima,Lima
Lambayeque,Lambayeque,Lambayeque
Ancash,Lima,Lima
Arequipa,Arequipa,Lima
Lima,Lima,Lima
Andahuaylas,Andahuaylas,Andahuaylas
Arequipa,Lima,Lima
Ancash,Cajamarca,Lima
Apurímac,Lima,Lima
Lima,Lima,Lima
Prov,Lima,Lima
Tingomaría,Lima,Lima
Tingomaría,Lima,Lima
Lima,Lima,Lima
Lima,Lima,Lima
Venezuela,Venezuela,Venezuela
Venezuela,Venezuela,Venezuela
Lima,Lima,Lima
Lima,Lima,Lima
Lima,Apurímac,Lima
Junín,Lima,Lima
Lima,Lima,Lima
Apurímac,Huancavelica,Lima
Huancavelica,Unk,Lima
Pisco,Lima,Lima
Cuzco,Unk,Lima
Piura,Piura,Lima
Unk,Lima,Lima
Ancash,Ayacucho,Lima
Lima,Lima,Lima
Cuzco,Lima,Lima
