"","client_id","contract_id","contract_start","contract_end","inter_complex"
"1",1,1,"15/07/2019","15/07/2020",18092+18458i
"2",3,3,"1/01/2015","1/01/2015",16436+16436i
"3",5,5,"12/06/2020","12/06/2020",18425+18425i
"4",13,13,"1/01/2015","1/01/2015",16436+16436i
"5",18,18,"1/01/2015","1/01/2015",16436+16436i
"6",19,19,"1/01/2015","1/01/2015",16436+16436i
"7",22,22,"1/01/2015","1/01/2015",16436+16436i
"8",27,27,"3/12/2020","3/12/2022",18599+19329i
"9",31,30,"28/10/2015","28/04/2016",16736+16919i
"10",33,32,"7/09/2018","7/09/2021",17781+18877i
"11",34,33,"23/02/2016","23/02/2016",16854+16854i
"12",35,34,"17/02/2021","17/02/2021",18675+18675i
"13",37,36,"1/01/2015","1/01/2015",16436+16436i
"14",38,422,"1/07/2016","1/07/2017",16983+17348i
"15",2511,37,"1/01/2015","1/01/2015",16436+16436i
"16",42,40,"10/03/2021","10/03/2022",18696+19061i
"17",43,41,"1/01/2015","1/01/2015",16436+16436i
"18",45,43,"1/01/2015","1/01/2015",16436+16436i
"19",48,45,"1/01/2015","1/01/2015",16436+16436i
"20",50,47,"1/01/2015","1/01/2015",16436+16436i
"21",51,48,"1/01/2015","1/01/2015",16436+16436i
"22",53,842,"1/10/2016","1/10/2018",17075+17805i
"23",53,50,"13/09/2018","13/09/2019",17787+18152i
"24",54,51,"1/08/2018","1/02/2020",17744+18293i
"25",62,55,"26/01/2021","26/01/2022",18653+19018i
"26",70,554,"1/01/2015","1/01/2015",16436+16436i
"27",70,62,"8/08/2016","8/08/2017",17021+17386i
"28",70,555,"1/01/2015","1/01/2015",16436+16436i
"29",70,556,"1/01/2015","1/01/2018",16436+17532i
"30",74,66,"1/01/2015","1/01/2015",16436+16436i
"31",86,73,"10/03/2016","10/03/2016",16870+16870i
"32",87,74,"24/05/2018","24/05/2019",17675+18040i
"33",92,78,"1/01/2015","1/01/2015",16436+16436i
"34",95,80,"1/03/2018","1/09/2018",17591+17775i
"35",96,81,"23/08/2019","23/08/2020",18131+18497i
